image_id,psnr,theta_psnr,ssim_percent,compression_ratio,roi_percentage,iou
2009_000895,12.118875261359989,5.327881808398397,16.432636976242065,1.5003691627922062,7.6992034912109375,0.0
2008_005738,14.612509479334344,14.278732688036122,14.536382257938385,1.5004464524203827,2.8995513916015625,0.0
2008_003500,14.893722679302876,,15.639497339725494,1.500509435042262,0.0,1.0
2008_006703,14.999695848029939,,13.40453177690506,1.501497809131958,0.0,1.0
2007_005114,15.17046712672595,14.528916082194389,15.748000144958496,1.5002775705801892,0.0759124755859375,0.0
2009_004568,14.121348632644706,4.534613992038741,14.746594429016113,1.5002489503072294,0.6916046142578125,0.0
2008_005945,14.74810089223967,6.700042138342761,12.63083666563034,1.5004378642906884,0.9174346923828125,0.0
2008_003779,6.741139491463035,4.151018862286514,8.950690180063248,1.5025678650036685,39.37416076660156,0.0
2010_000961,15.090601999407395,5.792697674153259,10.090982913970947,1.5006898236226904,0.4608154296875,0.0
2010_002382,12.252055381287473,7.5145481031019,9.354918450117111,1.5009475968447792,14.056396484375,0.0
2008_006140,14.816705820889188,13.881690614111957,15.049713850021362,1.5007241882698674,0.000762939453125,0.0
2008_004339,14.23730606480385,,16.070789098739624,1.5003233652883101,0.0,1.0
2008_005049,12.966416712582525,8.002884056768956,18.994182348251343,1.5001573727712678,5.6957244873046875,0.0
2009_004980,14.434762148406508,6.1314880614708365,9.740569442510605,1.5020283433286221,0.73394775390625,0.0
2010_000559,10.221815406655523,5.45812585551428,15.401184558868408,1.5002174692681587,18.669891357421875,0.017114914425427872
2008_000162,13.907277108082194,9.249674074782101,10.625657439231873,1.500443589699561,12.241744995117188,0.0
2009_004805,14.18066433070319,3.9942969335758267,11.155889183282852,1.5002804326675443,0.9479522705078125,0.0
2010_005064,9.421628479786136,4.049605486526798,8.009060472249985,1.500303329759511,18.021774291992188,0.0
2009_004072,14.115868813434913,8.248287831622276,16.466383635997772,1.5006669147322322,4.84466552734375,0.0
2010_001734,14.578891946987465,3.4057026185361194,14.857541024684906,1.501065056230388,0.0080108642578125,0.0
2009_004656,14.848019980443867,6.8813794497086365,13.774381577968597,1.5018160846665929,0.3070831298828125,0.0
2009_000242,14.811129784026447,10.564544344810097,11.345695704221725,1.5006755054841885,2.5928497314453125,0.0
2010_003958,14.776114816511425,9.286505171151857,13.989292085170746,1.5007614184137308,5.8795928955078125,0.0
2011_000556,14.737539299125743,,10.244352370500565,1.5017386538751645,0.0,0.0
2010_000131,12.228334647219036,6.789314411023487,12.231874465942383,1.5004350016026375,16.0552978515625,0.0
2007_008927,14.720191123988023,,13.73114138841629,1.5004750802294122,0.0,1.0
2009_005148,15.756368474669902,,24.119949340820312,1.5006296892769642,0.0,1.0
2007_007902,13.07168350469954,7.252500131442127,15.807212889194489,1.500472217399351,8.377456665039062,0.0
2008_004416,13.882387939477356,8.955495289926109,10.824202746152878,1.5011596100656062,7.012176513671875,0.0
2010_003915,15.191572271982984,,6.899339705705643,1.5029727606827317,0.0,1.0
2011_000585,9.501273698952414,5.4988911440720125,16.416698694229126,1.500374887676784,22.52655029296875,0.0
2010_000117,14.89824628022812,,10.052436590194702,1.5004178257037215,0.0,1.0
2010_002232,13.003560489151864,3.8237503632785934,9.976834803819656,1.500297605420997,3.203582763671875,0.0
2008_000676,10.846476819851457,7.515256623490237,14.09090906381607,1.5006497335233875,27.7435302734375,0.0
2008_002749,13.681424637988313,6.2851008324845745,14.647386968135834,1.5002088837595262,8.04595947265625,0.0
2009_003975,14.044691649234387,8.703041520620838,11.848187446594238,1.5010077566725708,6.380462646484375,0.0
2007_006946,14.770761125983555,9.22422920837662,12.218746542930603,1.5006554605492892,1.019287109375,0.0
